Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13.56]	 (rumeur de rue) 

[00:01:16.56]	  

[00:01:18.83]	 (appel à  la priè re)

[00:01:21.93]	

[00:01:24.36]	  

[00:01:28.26]	 (musique douce)

[00:01:31.36]	

[00:01:33.36]	  

[00:01:59.26]	 (musique rythmée)

[00:02:02.79]	  (langue étrangè re)

[00:02:04.53]	

[00:02:06.23]	  

[00:02:10.46]	 (brouhaha)

[00:02:13.56]	

[00:02:15.56]	  

[00:02:48.36]	 (brouhaha)

[00:02:51.46]	

[00:02:53.89]	  

[00:02:59.19]	 (langue étrangè re)

[00:03:02.29]	

[00:03:04.73]	  

[00:03:07.66]	 - Eh! Jeet!

[00:03:11.19]	  C'est pas trop tô t!

[00:03:13.79]	  (langue étrangè re)

[00:03:15.99]	  (trompette)

[00:03:17.19]	

[00:03:19.76]	 (brouhaha)

[00:03:20.03]	  

[00:03:22.86]	

[00:03:25.96]	 - C'est exactement comme ça que j'imagine l'Angleterre.

[00:03:28.79]	  - L'Angleterre aujourd'hui,

[00:03:31.39]	  c'est que des quartiers pauvres ou bombardés.

[00:03:33.49]	  Tu sais pourquoi ils abandonnent tout ça?

[00:03:34.73]	  

[00:03:35.93]	  - Non.

[00:03:38.43]	  - La guerre les a laissés sur la paille.

[00:03:39.93]	  Ils ne peuvent plus se permettre de nous garder.

[00:03:41.66]	  - Attention! Elle pourrait t'entendre.

[00:03:42.69]	  

[00:03:44.56]	  - La reine Victoria, impératrice des Indes.

[00:03:46.46]	  Et dire qu'elle a jamais mis les pieds ici.

[00:03:49.09]	  Lord Mountbatten va enfin pouvoir repartir

[00:03:50.93]	  avec son arriè re-grand-mè re.

[00:03:52.29]	

[00:03:52.96]	 (rires)

[00:03:53.96]	  

[00:03:56.49]	  (langue étrangè re)

[00:03:57.29]	  

[00:03:59.39]	  - Voici le nouveau, monsieur. Jeet Kumar.

[00:04:00.93]	  Un Pendjabi, comme moi.

[00:04:03.56]	  Il est de mon village prè s de Lahore.

[00:04:04.96]	  On est amis d'enfance, lui et moi.

[00:04:06.63]	  Il est trè s bien. Trè s compétent.

[00:04:09.03]	  - C'est un grand honneur de travailler chez le vice-roi.

[00:04:10.53]	  - Ce matin, j'ai parlé au téléphone

[00:04:13.03]	  avec votre dernier employeur.

[00:04:14.93]	  Le gouverneur du Pendjab

[00:04:16.83]	  regrette énormément de vous perdre.

[00:04:18.33]	  Vous dépendrez de M. Gupta.

[00:04:20.39]	  Dans le cercle restreint.

[00:04:22.53]	  - Notre travail est de veiller de prè s sur le vice-roi.

[00:04:23.03]	  

[00:04:25.46]	  - Ceci est un poste de haute confiance.

[00:04:27.46]	  Est-ce que c'est clair?

[00:04:29.53]	  - Oui, monsieur. C'est un privilè ge.

[00:04:30.93]	  M. Mountbatten est un homme exemplaire.

[00:04:32.73]	  Il a libéré la Birmanie.

[00:04:35.23]	  - C'est exact.

[00:04:37.19]	  - Maintenant, il va libérer l'Inde.

[00:04:38.79]	  - Vous croyez que les Indiens sont prê ts à  gérer

[00:04:39.26]	  

[00:04:42.33]	  leurs propres fonctions publiques?

[00:04:44.83]	  Leurs propres tribunaux?

[00:04:46.43]	  Ou que sais-je encore? Leur propre armée?

[00:04:48.09]	  - On a été à  bonne école.

[00:04:49.56]	

[00:04:50.86]	 - Je ne vous ai pas choisie pour votre grande expérience.

[00:04:52.26]	  

[00:04:55.03]	  Mais parce que l'honorable Pamela Mountbatten a 18 ans

[00:04:57.89]	  et je pense qu'elle appréciera votre jeunesse.

[00:05:00.53]	

[00:05:01.43]	 - Mais... que devient mon travail ici?

[00:05:02.63]	  

[00:05:04.53]	

[00:05:05.46]	 - C'est un grand honneur que je vous accorde.

[00:05:06.86]	  

[00:05:08.93]	  - Bien, madame.

[00:05:10.76]	  

[00:05:11.56]	

[00:05:13.83]	 - Les hommes traduisent les discours des politiques

[00:05:17.79]	  et nous, les bavardages d'une petite Anglaise.

[00:05:19.36]	  - C'est une amie de la princesse Elizabeth.

[00:05:21.06]	  - Au garde-à -vous quand elles passent.

[00:05:22.73]	  - La fille Mountbatten va nous prendre de haut et...

[00:05:24.03]	  - Eh, crétin! Au garde-à -vous!

[00:05:25.36]	  

[00:05:26.93]	  Il faut pas les regarder comme ça.

[00:05:28.26]	  - Aalia?

[00:05:31.09]	  - Désolé, mademoiselle. Mon ami est nouveau.

[00:05:32.86]	  Il ne connaî t pas encore le protocole.

[00:05:34.73]	  - Aalia? On est en retard.

[00:05:35.93]	

[00:05:37.96]	 (musique douce)

[00:05:38.36]	  

[00:05:41.06]	

[00:05:43.19]	  

[00:05:46.29]	 - Eh, crétin! Qui est-ce?

[00:05:50.16]	  Un hindou comme toi et une musulmane?

[00:05:51.39]	

[00:05:53.43]	 - J'ai connu son pè re quand il était en prison à  Lahore.

[00:05:53.79]	  

[00:05:57.33]	  - Ton premier travail, c'était policier?

[00:05:58.89]	  

[00:06:00.29]	  - Oui, monsieur.

[00:06:02.89]	  Et maintenant, je suis aide-valet depuis deux ans.

[00:06:04.23]	  - Pourquoi as-tu changé de métier?

[00:06:05.46]	  

[00:06:07.23]	  - Je travaillais dans une prison.

[00:06:09.96]	  Beaucoup de nos dirigeants y étaient enfermés.

[00:06:12.13]	  J'avais... de plus en plus de mal

[00:06:14.86]	  à  verrouiller leurs cellules.

[00:06:16.93]	  - Et pourtant...

[00:06:19.73]	  tu veux travailler pour le vice-roi britannique.

[00:06:21.59]	  - Il ne sera pas vice-roi trè s longtemps.

[00:06:22.76]	  

[00:06:24.36]	  La liberté approche.

[00:06:26.36]	

[00:06:27.53]	 - Il vaut mieux ê tre proche du pouvoir et observer

[00:06:28.46]	  

[00:06:31.19]	  que se soulever contre lui.

[00:06:33.39]	

[00:06:34.13]	 Sinon, comment prendre leur place

[00:06:35.56]	  

[00:06:37.69]	  quand le moment viendra?

[00:06:40.16]	  (gémissements d'un chien) - Qu'est-ce que c'est?

[00:06:41.26]	  

[00:06:43.39]	  Regarde, Mitzi. Qu'est-ce que tu vois?

[00:06:45.26]	  Qu'est-ce que tu vois?

[00:06:47.06]	

[00:06:47.86]	 - Voilà , c'est mieux.

[00:06:49.06]	  

[00:06:51.83]	  - Vous avez fini de vous pomponner, papa?

[00:06:54.33]	  - Tu sais, les Australiens trouvaient ton pè re trè s smart.

[00:06:55.29]	  

[00:06:57.76]	  - Qui oserait dire le contraire.

[00:06:59.73]	

[00:07:00.93]	 - Pour Churchill, il n'y a pas pire mission que celle-ci.

[00:07:01.63]	  

[00:07:04.49]	  - Eh bien, il a tort.

[00:07:07.33]	  La Birmanie était une mission bien pire que celle-ci.

[00:07:08.83]	  - Vous allez rendre un pays à  son peuple.

[00:07:10.19]	  Je ne vois pas ouù  est le mal.

[00:07:12.13]	  - Churchill avait tort à  propos de Gandhi aussi.

[00:07:13.46]	  Comment l'appelait-il déjà ?

[00:07:16.03]	  - Le fakir à  demi-nu.

[00:07:18.26]	  - C'est trè s irrespectueux, je trouve.

[00:07:20.13]	  - Oui. L'empire le plus puissant du monde

[00:07:21.29]	  

[00:07:23.73]	  a été mis à  bas par un homme en pagne.

[00:07:25.53]	  - Pauvre Winston. Il s'agite dans tous les sens

[00:07:27.69]	  comme s'il avait avalé une guê pe.

[00:07:30.33]	  - Il fait partie du passé, trè s cher,

[00:07:32.03]	  et vous, vous ê tes l'avenir.

[00:07:33.93]	  - Nous, vous voulez dire.

[00:07:35.49]	  - Eh bien...

[00:07:36.59]	  

