Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13:03]	 (rumeur de rue) 

[00:01:16:16]	  

[00:01:18:10]	 (appel à  la priè re)

[00:01:21:25]	

[00:01:24:10]	  

[00:01:27:27]	 (musique douce)

[00:01:31:08]	

[00:01:33:10]	  

[00:01:58:27]	 (musique rythmée)

[00:02:02:08]	  (langue étrangè re)

[00:02:04:13]	

[00:02:06:06]	  

[00:02:10:06]	 (brouhaha)

[00:02:13:14]	

[00:02:15:16]	  

[00:02:48:03]	 (brouhaha)

[00:02:51:11]	

[00:02:53:26]	  

[00:02:58:23]	 (langue étrangè re)

[00:03:02:06]	

[00:03:04:21]	  

[00:03:07:11]	 - Eh! Jeet!

[00:03:10:20]	  C'est pas trop tô t!

[00:03:13:08]	  (langue étrangè re)

[00:03:15:18]	  (trompette)

[00:03:17:03]	

[00:03:19:15]	 (brouhaha)

[00:03:20:00]	  

[00:03:22:23]	

[00:03:24:25]	 - C'est exactement comme ça que j'imagine l'Angleterre.

[00:03:28:04]	  - L'Angleterre aujourd'hui,

[00:03:30:11]	  c'est que des quartiers pauvres ou bombardés.

[00:03:32:19]	  Tu sais pourquoi ils abandonnent tout ça?

[00:03:34:21]	  

[00:03:35:19]	  - Non.

[00:03:37:16]	  - La guerre les a laissés sur la paille.

[00:03:38:26]	  Ils ne peuvent plus se permettre de nous garder.

[00:03:40:24]	  - Attention! Elle pourrait t'entendre.

[00:03:42:20]	  

[00:03:43:18]	  - La reine Victoria, impératrice des Indes.

[00:03:45:15]	  Et dire qu'elle a jamais mis les pieds ici.

[00:03:48:06]	  Lord Mountbatten va enfin pouvoir repartir

[00:03:50:06]	  avec son arriè re-grand-mè re.

[00:03:52:06]	

[00:03:52:22]	 (rires)

[00:03:53:28]	  

[00:03:55:29]	  (langue étrangè re)

[00:03:57:08]	  

[00:03:58:13]	  - Voici le nouveau, monsieur. Jeet Kumar.

[00:04:00:10]	  Un Pendjabi, comme moi.

[00:04:02:20]	  Il est de mon village prè s de Lahore.

[00:04:04:04]	  On est amis d'enfance, lui et moi.

[00:04:05:24]	  Il est trè s bien. Trè s compétent.

[00:04:07:26]	  - C'est un grand honneur de travailler chez le vice-roi.

[00:04:09:21]	  - Ce matin, j'ai parlé au téléphone

[00:04:12:10]	  avec votre dernier employeur.

[00:04:14:11]	  Le gouverneur du Pendjab

[00:04:15:29]	  regrette énormément de vous perdre.

[00:04:17:19]	  Vous dépendrez de M. Gupta.

[00:04:19:24]	  Dans le cercle restreint.

[00:04:21:11]	  - Notre travail est de veiller de prè s sur le vice-roi.

[00:04:23:00]	  

[00:04:24:16]	  - Ceci est un poste de haute confiance.

[00:04:26:26]	  Est-ce que c'est clair?

[00:04:28:20]	  - Oui, monsieur. C'est un privilè ge.

[00:04:30:01]	  M. Mountbatten est un homme exemplaire.

[00:04:32:05]	  Il a libéré la Birmanie.

[00:04:34:24]	  - C'est exact.

[00:04:36:10]	  - Maintenant, il va libérer l'Inde.

[00:04:37:20]	  - Vous croyez que les Indiens sont prê ts à  gérer

[00:04:39:07]	  

[00:04:41:15]	  leurs propres fonctions publiques?

[00:04:44:08]	  Leurs propres tribunaux?

[00:04:45:15]	  Ou que sais-je encore? Leur propre armée?

[00:04:47:14]	  - On a été à  bonne école.

[00:04:49:14]	

[00:04:49:22]	 - Je ne vous ai pas choisie pour votre grande expérience.

[00:04:52:07]	  

[00:04:53:26]	  Mais parce que l'honorable Pamela Mountbatten a 18 ans

[00:04:56:26]	  et je pense qu'elle appréciera votre jeunesse.

[00:05:00:13]	

[00:05:00:20]	 - Mais... que devient mon travail ici?

[00:05:02:18]	  

[00:05:04:13]	

[00:05:04:18]	 - C'est un grand honneur que je vous accorde.

[00:05:06:25]	  

[00:05:08:14]	  - Bien, madame.

[00:05:10:22]	  

[00:05:11:14]	

[00:05:12:23]	 - Les hommes traduisent les discours des politiques

[00:05:16:23]	  et nous, les bavardages d'une petite Anglaise.

[00:05:18:13]	  - C'est une amie de la princesse Elizabeth.

[00:05:20:05]	  - Au garde-à -vous quand elles passent.

[00:05:21:19]	  - La fille Mountbatten va nous prendre de haut et...

[00:05:23:08]	  - Eh, crétin! Au garde-à -vous!

[00:05:25:10]	  

[00:05:26:05]	  Il faut pas les regarder comme ça.

[00:05:27:29]	  - Aalia?

[00:05:30:03]	  - Désolé, mademoiselle. Mon ami est nouveau.

[00:05:31:29]	  Il ne connaî t pas encore le protocole.

[00:05:34:03]	  - Aalia? On est en retard.

[00:05:35:25]	

[00:05:37:18]	 (musique douce)

[00:05:38:10]	  

[00:05:40:29]	

[00:05:43:05]	  

[00:05:45:21]	 - Eh, crétin! Qui est-ce?

[00:05:49:09]	  Un hindou comme toi et une musulmane?

[00:05:51:09]	

[00:05:52:09]	 - J'ai connu son pè re quand il était en prison à  Lahore.

[00:05:53:23]	  

[00:05:56:13]	  - Ton premier travail, c'était policier?

[00:05:58:26]	  

[00:05:59:26]	  - Oui, monsieur.

[00:06:01:24]	  Et maintenant, je suis aide-valet depuis deux ans.

[00:06:03:13]	  - Pourquoi as-tu changé de métier?

[00:06:05:13]	  

[00:06:06:15]	  - Je travaillais dans une prison.

[00:06:08:28]	  Beaucoup de nos dirigeants y étaient enfermés.

[00:06:11:10]	  J'avais... de plus en plus de mal

[00:06:14:05]	  à  verrouiller leurs cellules.

[00:06:16:15]	  - Et pourtant...

[00:06:18:20]	  tu veux travailler pour le vice-roi britannique.

[00:06:20:20]	  - Il ne sera pas vice-roi trè s longtemps.

[00:06:22:22]	  

[00:06:23:25]	  La liberté approche.

[00:06:26:08]	

[00:06:26:16]	 - Il vaut mieux ê tre proche du pouvoir et observer

[00:06:28:13]	  

[00:06:30:16]	  que se soulever contre lui.

[00:06:33:09]	

[00:06:33:13]	 Sinon, comment prendre leur place

[00:06:35:16]	  

[00:06:37:04]	  quand le moment viendra?

[00:06:39:04]	  (gémissements d'un chien) - Qu'est-ce que c'est?

[00:06:41:07]	  

[00:06:42:15]	  Regarde, Mitzi. Qu'est-ce que tu vois?

[00:06:44:21]	  Qu'est-ce que tu vois?

[00:06:46:29]	

[00:06:47:12]	 - Voilà , c'est mieux.

[00:06:49:01]	  

[00:06:50:26]	  - Vous avez fini de vous pomponner, papa?

[00:06:53:03]	  - Tu sais, les Australiens trouvaient ton pè re trè s smart.

[00:06:55:08]	  

[00:06:56:29]	  - Qui oserait dire le contraire.

[00:06:59:19]	

[00:06:59:25]	 - Pour Churchill, il n'y a pas pire mission que celle-ci.

[00:07:01:18]	  

[00:07:03:28]	  - Eh bien, il a tort.

[00:07:06:05]	  La Birmanie était une mission bien pire que celle-ci.

[00:07:07:26]	  - Vous allez rendre un pays à  son peuple.

[00:07:09:14]	  Je ne vois pas ouù  est le mal.

[00:07:11:03]	  - Churchill avait tort à  propos de Gandhi aussi.

[00:07:12:23]	  Comment l'appelait-il déjà ?

[00:07:15:13]	  - Le fakir à  demi-nu.

[00:07:17:11]	  - C'est trè s irrespectueux, je trouve.

[00:07:19:06]	  - Oui. L'empire le plus puissant du monde

[00:07:21:08]	  

[00:07:22:25]	  a été mis à  bas par un homme en pagne.

[00:07:24:15]	  - Pauvre Winston. Il s'agite dans tous les sens

[00:07:26:26]	  comme s'il avait avalé une guê pe.

[00:07:29:13]	  - Il fait partie du passé, trè s cher,

[00:07:31:10]	  et vous, vous ê tes l'avenir.

[00:07:33:10]	  - Nous, vous voulez dire.

[00:07:35:03]	  - Eh bien...

[00:07:36:17]	  

[00:07:37:23]	  faisons tout pour ne pas gâ cher cet avenir.

[00:07:40:01]	

[00:07:40:07]	 (musique de cornemuse, applaudissements)

[00:07:42:16]	  

[00:07:44:01]	

[00:07:46:16]	  

[00:07:58:08]	 - Présentez armes!

[00:08:01:20]	

[00:08:01:27]	 (musique douce)

[00:08:03:25]	  

[00:08:05:08]	

[00:08:07:13]	  

[00:08:17:22]	 - Votre excellence.

[00:08:21:05]	  - Plus pour trè s longtemps.

[00:08:23:00]	  Bienvenue. Vous connaissez lord Ismay, chef d'EÉ tat-major.

[00:08:24:26]	  - Pug! Content de vous revoir! - Ravi d'ê tre des vô tres.

[00:08:26:29]	  - Bienvenue dans la chaleur infernale, ma chè re.

[00:08:28:23]	  - Lady Wavell. - Dickie.

[00:08:30:25]	  - Je dois vous avouer,

[00:08:33:16]	  la façon dont le gouvernement vous évince est mesquine.

[00:08:35:06]	  - J'ai toujours été dévoué à  Churchill.

[00:08:37:18]	  Et voilà  qu'Atlee arrive au pouvoir

[00:08:39:14]	  avec ces travaillistes. - Lord Louis!

[00:08:41:08]	  Quels sont vos objectifs?

[00:08:42:24]	  - On m'a confié une mission précise.

[00:08:44:18]	  Je suis venu pour ê tre le dernier vice-roi des Indes.

[00:08:47:05]	  Et je compte exercer ce rô le avec la plus grande fierté.

[00:08:49:23]	

[00:08:52:15]	  

[00:08:55:27]	 Oh...

[00:08:59:03]	  Tout cela est impressionnant.

[00:09:00:13]	  Magnifique!

[00:09:02:03]	  - Voici le personnel d'intérieur.

[00:09:03:17]	  

[00:09:05:11]	  - Juste Ciel!

[00:09:06:29]	  - Plus de 500 employés à  votre service.

[00:09:08:29]	  - Au nom de vous tous,

[00:09:12:00]	  je souhaite la bienvenue au nouveau vice-roi

[00:09:14:00]	  et à  sa famille.

[00:09:16:23]	

[00:09:17:11]	 Je suis sû r que vous leur fournirez

[00:09:18:25]	  
